univNameCn,univNameEn,univTags,univCategory,province,score,ranking
华北水利水电大学,North China University of Water Resources and Electric Power,,理工,河南,167.5,221
中南林业科技大学,Central South University of Forestry & Technology,,林业,湖南,167.5,221
沈阳航空航天大学,Shenyang Aerospace University,,理工,辽宁,167.0,223
沈阳建筑大学,Shenyang Jianzhu University,,理工,辽宁,166.5,224
苏州科技大学,Suzhou University of Science and Technology,,理工,江苏,166.3,225
国际关系学院,University of International Relations,,综合,北京,166.1,226
西安邮电大学,Xi'an University of Posts and Telecommunications,,理工,陕西,165.3,227
桂林电子科技大学,Guilin University of Electronic Technology,,理工,广西,163.5,228
山西农业大学,Shanxi Agricultural University,,农业,山西,162.4,229
北京农学院,Beijing University of Agriculture,,农业,北京,162.3,230
北京印刷学院,Beijing Institute of Graphic Communication,,理工,北京,161.6,231
武汉轻工大学,Wuhan Polytechnic University,,理工,湖北,161.6,231
安徽建筑大学,Anhui jianzhu University,,理工,安徽,161.3,233
西华师范大学,China West Normal University,,师范,四川,161.1,234
海南师范大学,Hainan Normal University,,师范,海南,160.9,235
东北电力大学,Northeast Electric Power University,,理工,吉林,160.6,236
成都信息工程大学,Chengdu University of Information Technology,,理工,四川,160.5,237
兰州交通大学,Lanzhou Jiaotong University,,理工,甘肃,160.5,237
河北科技大学,Hebei University of Science and Technology,,理工,河北,159.7,239
甘肃农业大学,Gansu Agricultural University,,农业,甘肃,159.5,240
中原工学院,Zhongyuan University of Technology,,理工,河南,158.6,241
重庆理工大学,Chongqing University of Technology,,理工,重庆,158.3,242
佛山科学技术学院,Foshan University,,理工,广东,158.3,242
聊城大学,Liaocheng University,,综合,山东,157.2,244
山东建筑大学,Shandong Jianzhu University,,理工,山东,157.2,244
东莞理工学院,Dongguan University of Technology,,理工,广东,157.0,246
成都大学,Chengdu University,,综合,四川,156.9,247
嘉兴学院,Jiaxing University,,综合,浙江,156.0,248
山西师范大学,Shanxi Normal University,,师范,山西,155.9,249
西安石油大学,Xi'an Shiyou University,,理工,陕西,155.3,250
西安工程大学,Xi'an Polytechnic University,,理工,陕西,154.9,251
大连交通大学,Dalian Jiaotong University,,理工,辽宁,154.6,252
大连大学,Dalian University,,综合,辽宁,154.5,253
大连工业大学,Dalian Polytechnic University,,理工,辽宁,154.3,254
安徽工程大学,Anhui Polytechnic University,,理工,安徽,154.2,255
浙大宁波理工学院,NingboTech University,,理工,浙江,153.5,256
江汉大学,Jianghan University,,综合,湖北,153.1,257
信阳师范学院,Xinyang Normal University,,师范,河南,152.8,258
青海师范大学,Qinghai Normal University,,师范,青海,152.5,259
贵州师范大学,Guizhou Normal University,,师范,贵州,152.4,260
辽宁石油化工大学,Liaoning shihua University,,理工,辽宁,152.4,260
华北理工大学,North China University of Science and Technology,,综合,河北,151.8,262
沈阳化工大学,Shenyang University of Chemical Technology,,理工,辽宁,151.0,263
上海应用技术大学,Shanghai Institute of Technology,,理工,上海,150.7,264
南京工程学院,Nanjing Institute of Technology,,理工,江苏,150.6,265
中国民航大学,Civil Aviation University of China,,理工,天津,150.6,265
合肥学院,Hefei University,,理工,安徽,150.4,267
渤海大学,Bohai University,,综合,辽宁,149.9,268
湖南工业大学,Hunan University of Technology,,理工,湖南,149.8,269
北京联合大学,Beijing Union University,,综合,北京,149.1,270
绍兴文理学院,Shaoxing University,,师范,浙江,149.1,270
辽宁工程技术大学,Liaoning Technical University,,理工,辽宁,148.8,272
临沂大学,Linyi University,,综合,山东,148.7,273
黑龙江八一农垦大学,Heilongjiang Bayi Agricultural University,,农业,黑龙江,147.9,274
西安工业大学,Xi'an Technological University,,理工,陕西,146.8,275
内蒙古师范大学,Inner Mongolia Normal University,,师范,内蒙古,145.1,276
赣南师范大学,GanNan Normal University,,师范,江西,144.4,277
厦门理工学院,Xiamen University of Technology,,理工,福建,144.4,277
吉林师范大学,Jilin Normal University,,师范,吉林,143.7,279
西华大学,Xihua University,,综合,四川,143.4,280
延安大学,Yan'an University,,综合,陕西,143.1,281
桂林理工大学,Guilin University of Technology,,理工,广西,142.4,282
河北工程大学,Hebei University of Engineering,,理工,河北,142.3,283
沈阳理工大学,Shenyang Ligong University,,理工,辽宁,142.2,284
北京石油化工学院,Beijing Institute of Petrochemical Technology,,理工,北京,142.1,285
安庆师范大学,Anqing Normal University,,师范,安徽,142.0,286
淮北师范大学,Huaibei Normal University,,师范,安徽,141.9,287
长春工业大学,Changchun University of Technology,,理工,吉林,141.8,288
浙江科技学院,Zhejiang University of Science and Technology,,理工,浙江,140.5,289
辽宁工业大学,Liaoning University of Technology,,理工,辽宁,140.2,290
浙大城市学院,Zhejiang University City College,,理工,浙江,140.2,290
广东技术师范大学,Guangdong Polytechnic Normal University,,师范,广东,140.0,292
内蒙古民族大学,Inner Mongolia University for Nationalities,,综合,内蒙古,139.7,293
景德镇陶瓷大学,Jingdezhen Ceramic Institute,,理工,江西,138.5,294
大连海洋大学,Dalian Ocean University,,农业,辽宁,138.3,295
辽宁科技大学,University of Science and Technology Liaoning,,理工,辽宁,138.0,296
上海海关学院,Shanghai Customs College,,综合,上海,137.8,297
南昌工程学院,Nanchang Institute of Technology,,理工,江西,136.8,298
吉首大学,Jishou University,,综合,湖南,135.7,299
淮阴工学院,Huaiyin Institute of Technology,,理工,江苏,135.6,300
云南农业大学,Yunnan Agricultural University,,农业,云南,135.3,301
江西科技师范大学,Jiangxi Science and Technology Normal University,,师范,江西,135.0,302
北华大学,Beihua University,,综合,吉林,134.8,303
沈阳大学,Shenyang University,,综合,辽宁,134.8,303
塔里木大学,Tarim University,,综合,新疆,134.8,303
长江师范学院,Yangtze Normal University,,师范,重庆,134.7,306
新疆师范大学,Xinjiang Normal University,,师范,新疆,134.2,307
大理大学,Dali University,,综合,云南,134.1,308
内蒙古工业大学,Inner Mongolia University of Technology,,理工,内蒙古,134.1,308
重庆科技学院,Chongqing University of Science and Technology,,理工,重庆,134.0,310
淮阴师范学院,Huaiyin Normal University,,师范,江苏,134.0,310
湖北第二师范学院,Hubei University of Education,,师范,湖北,133.8,312
湖北师范大学,Hubei Normal University,,师范,湖北,133.8,312
南宁师范大学,Guangxi Teachers Education University,,师范,广西,133.8,312
