打印次数,发货小包装数量,发货金额,发货毛重,发货体积,发货大包装数量,调整单对应的原单,代垫费用应收金额,WMS系统实际拣货数量,发货单WMS系统锁定库存优先级,折扣金额,provience,time
0,1,298.0,0.5,0.01,1.0,194588422,0.0,0,5,30.0,湖南,2020-01-06 00:00:00
0,22,6766.0,0.80139,0.8023,22.0,194588467,0.0,0,5,5900.0,湖南,2020-01-06 00:00:00
1,60,276.0,7.2,0.147,3.0,194438110,0.0,60,5,0.0,湖南,2020-01-04 09:11:21
1,5516,18982.03,1564.38,5.92054,398.0,194520990,0.0,5516,1,0.0,湖南,2020-01-06 00:00:00
1,1800,11100.0,480.96,2.16,180.0,194520075,0.0,1800,1,0.0,湖南,2020-01-06 00:00:00
1,200,1340.0,57.0,0.6,20.0,194521553,0.0,200,1,0.0,湖南,2020-01-06 00:00:00
1,582,4785.0,88.089,33.1995,65.0,194391851,0.0,582,1,0.0,湖南,2020-01-03 00:00:00
1,320,1536.0,54.7,0.251,10.0,194550131,0.0,320,5,0.0,湖南,2020-01-06 00:00:00
1,105,1365.0,34.5,0.03,15.0,194524921,0.0,105,5,0.0,湖南,2020-01-07 00:00:00
2,1572,4385.86,248.6525,30.19175,54.125,194398736,0.0,0,5,0.0,湖南,2020-01-03 12:27:31
2,2798,2098.48,42.36,17.07846,17.0,194412669,0.0,0,5,0.0,湖南,2020-01-03 15:56:04
1,237,32794.88,19.235,0.98,237.0,194444304,0.0,237,5,0.0,湖南,2020-01-04 00:00:00
0,19,4815.25,1.234,0.019,19.0,194557603,0.0,0,5,0.0,湖南,2020-01-06 00:00:00
1,55,0.0,5.5,5.5,55.0,194438322,0.0,0,5,0.0,湖南,2020-01-04 00:00:00
1,114,8100.0,199.5,0.3154,19.0,194608478,0.0,0,5,0.0,湖南,2020-01-07 00:00:00
2,40,9595.0,52.26666667,0.23553701,6.16666667,194527529,0.0,40,5,0.0,湖南,2020-01-06 00:00:00
1,6,1905.0,8.6,0.03841266,1.0,194555160,0.0,6,5,0.0,湖南,2020-01-06 00:00:00
0,54,13516.2,77.4,0.34571394,9.0,194518128,4500.0,54,5,0.0,湖南,2020-01-06 00:00:00
1,108,29672.4,146.86666667,0.65807627,17.16666667,194304285,0.0,108,5,0.0,湖南,2020-01-02 00:00:00
2,32,9799.2,0.154,0.106,32.0,194549779,816.6,32,5,0.0,湖南,2020-01-06 00:00:00
0,1,0.0,0.02,0.005,1.0,194627610,0.0,0,5,0.0,湖南,2020-01-07 14:31:32
1,48,16827.84,50.0,0.1513228,4.0,194548117,117479.77,48,5,0.0,湖南,2020-01-06 00:00:00
1,27,0.0,0.027,0.027,27.0,194602932,0.0,27,5,0.0,湖南,2020-01-07 00:00:00
1,1300,1446.84,55.0,33.0182,38.0,194520731,0.0,0,5,0.0,湖南,2020-01-06 09:25:13
1,744,1154.08,26.8,6.092,8.0,194521055,0.0,0,5,0.0,湖南,2020-01-06 09:29:03
1,360,1755.0,9.0,7.0,15.0,194525473,0.0,0,5,0.0,湖南,2020-01-06 10:10:46
1,4,800.0,5.35,10.335936,0.5,194559410,0.0,4,5,0.0,湖南,2020-01-06 00:00:00
1,60,51600.0,10.0,10.0,10.0,194544691,0.0,60,5,0.0,湖南,2020-01-06 00:00:00
1,24000,116000.0,7400.0,10479.336,1000.0,194517838,0.0,24000,5,0.0,湖南,2020-01-06 00:00:00
0,18,0.0,4.99316667,0.01727001,0.99583334,194615860,0.0,0,5,0.0,湖南,2020-01-04 00:00:00
0,12,0.0,0.036,0.012,12.0,194640662,0.0,0,5,0.0,湖南,2020-01-07 16:28:23
1,5459,0.0,3234.7,20.4596,370.0,194624824,15417.5,5459,5,0.0,湖南,2020-01-07 00:00:00
1,12,90.36,51.6,0.08868102,3.0,194395273,0.0,12,5,0.0,湖南,2020-01-03 00:00:00
2,24,45.84,13.1,0.02618624,1.0,194306723,0.0,24,1,0.0,湖南,2020-01-02 00:00:00
1,7000,18200.0,700.0,7.0,700.0,194561352,0.0,7000,5,0.0,湖南,2020-01-06 00:00:00
1,9,1984.8,7.5,0.015,0.75,194613177,0.0,9,5,0.0,湖南,2020-01-07 00:00:00
1,39,11575.2,1.624,0.74,39.0,194610098,0.0,39,5,0.0,湖南,2020-01-07 00:00:00
1,26,205.02,13.85,1.00910752,2.0,194558172,0.0,26,5,0.0,湖南,2020-01-06 00:00:00
